PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y, Q (m s.l.m.),NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02,gen-03,feb-03,mar-03,apr-03
VA,MORNAGO,PO1210601101T0,VINAGO,1480820,5064970,289.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,MORNAGO,PO1210601504T0,Montonate,1481720,5065240,289.7,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,MORTARA 1,39,via Marsala,1479160,5010480,108,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,MOZZATE - Aqua Seprio spa - pozzo 4,1 (2),via Libertà,1495999,5058550,262.6,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,NAVE - ASM,24,Prada,1598442,5048284,206,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Par.,NERVIANO,151540065,Cantone 65,1498320,5043055,166,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,NICORVO,36,,1474020,5014550,113.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,NOVEDRATE - Comune - pozzo 3,19(3bis),Villaggio Veneto - 1,1511046,5060448,282,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,OFFANENGO,19062.0005,via Dante,1557924.5,5025552,81,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,OFFLAGA - ASM,25,Cignano,1586697,5025513,73,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,OLGIATE COMASCO - Comune,20,via Repubblica,1498015,5068805,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,OLTRONA DI SAN MAMETTE - Az. Colline Comasche,14(21),Margè,1497860,5067095,373,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LO,ORIO LITTA - CAP                         ,980420003,via Pio Rossi,1543820,5000952,51.5,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC,OSNAGO,PC097061011,STATALE -via Statale,1530797,5057843,246,,X, 2/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,OSTIGLIA,76,via San Romano Casetto 40/A,1667790,4994100,13.60000038,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,OTTOBIANO,56,Strada per Valeggio,1487325,4999890,95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,OZZERO            ,151650025, v.25 Aprile-Faraon,1493904.997,5024331.997,107.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,PAGAZZANO - Arrigoni S.p.a.,161540946,"via Morengo, 31",1552647,5042405,124.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,PALESTRO 1,31,presso Municipio,1463525,5016650,120.5,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,PALOSCO - Comarmi S.n.c.,161573378,"Via Bergamo, 1",1564618,5049592,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,PALOSCO - Valtulini Giacomo,161573380,C.na Gritti,1564511,5046783,149.2,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Città,PANTIGLIATE,151670001,via D'Annunzio,1527170,5032050,97.39,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,PAVIA - 40,4,Campeggi 1,1510910,5006400,82.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,PAVONE DEL MELLA - ASM,26,VIA GIOVANNI XXIII,1594740,5016924,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,PESCAROLO 3,19069.0003,Loc. Palestra,1593492,5005268.5,45,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,Pescarolo 4,,Loc. Palestra,1593527.875,5005190.5,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Città,PESCHIERA BORROMEO,151710197,FEM Mezzate,1522946,5032854,105.61,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,PIADENA,19071.0003,via Bassa,1607835.25,4998399.5,34,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,PIEVE 2,15,,1534830,4995238,54.9,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LO,PIEVE FISSIRAGA - CAP            ,980450001,C.na S.Antonio,1535548,5013741,72.89,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,PINAROLO 1,18,,1512525,4989200,68,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,PIZZIGHETTONE,19076.0006,via Stadio,1562536.875,5004476.5,46,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,POMPIANO - COGEME,28,via Noce,1577244,5031736,93.7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,PONTE S. PIETRO - Amministrazione Comunale,161700005,Via Papa Giovanni XXIII,1545242,5060590,239.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,PONTE S. PIETRO - Amministrazione Comunale,161700003,via Moioli,1545759,5060572,225.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,PONTI SUL MINCIO,80,Scala Erbesti Giuseppina,1633160,5027910,64.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,PORTALBERA 5,13,Cassinassa,1524334,4993150,69,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,POZZAGLIO,19077.0001,via bongiovanni,1582847,5005656,50,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,PROVAGLIO D'ISEO - COGEME,29,Pozzo Nuovo,1580523,5053088,208,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,PUMENENGO - Amministrazione Comunale,161770001,"viale Europa, 9",1567778,5036490,110.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,QUINGENTOLE,81,Zona Artigianale Gabbiana,1660760,4988860,13.10000038,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,REDONDESCO,84,via Bologne (vicino al pensile),1618690,5003540,33,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,REMEDELLO - ARPA,30,VIA L. DA VINCI (REMEDELLO SOPRA),1607659,5014579,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Par.,RESCALDINA,151810001,"via Melzi Comune, 1",1496143.502,5051419.778,180.25,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,REVERE,85,via Smerrieri 4,1667680,4989800,14.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,REZZATO - ASM,31,via Gardesana - Treponti,1604156,5040364,148,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Par.,RHO,151820106,Alumix spa via S.Martino,1503760,5039860,138.59,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,RIPALTA ARPINA,19080.0002,via Capitani,1557143.875,5016713.5,65,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,RIPALTA CREMASCA,19081.0002,Loc. Zappello,1554044,5020362,76,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,ROBBIO,33,via Dentici,1468130,5014730,118.3,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Città,RODANO,151850004,via S.Pellico,1528130,5035520,110.5,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,RODENGO-SAIANO - ASM,32,Santa di Padergnone,1586957,5049659,172.4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,ROMANENGO,19086.0005,via XX Settembre,1561466.875,5025607.5,82,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - MONZA,RONCELLO - CAP,151860001,S.Ambrogio-serb.,1535790,5049790,192.99,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,RONCO BR.                     ,151870001, via Mandelli-serb.,1531390.003,5057041.005,249.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,ROVELLASCA - Cons. Lura Ambiente - pozzo 2,3(5),via Dante,1504185,5057342,247,,X,MISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,ROVELLO PORRO - Cons. Lura Ambiente - pozzo 3,17(1bis),via General Porro,1503100,5055090,235,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,ROVELLO PORRO - Consorzio Lura Ambiente spa,4,Via don Ballabio,1503030,5056525,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,ROVERBELLA,89,via Giulio Romano 12,1641740,5013610,36.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LO,S.ANGELO LODIGIANO - CAP               ,980500005,fraz.Ranera,1532041,5007048,68.25,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,S.Giuliano,151950015, v.Tolstoy,1523874.16,5025487.77,95.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LO,S.ROCCO AL PORTO - CAP        ,980490001,via Acquedotto,1554770,4992220,43.59,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,SABBIONETA,91,PANGUANETA S.P.A.,1617220,4983370,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LO,SALERANO,981900003,,1530130,5015585,80.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,SAMARATE,PO1211800500T0,via Mezzomonte - C. Costa,1481085,5052910,223.7,,X,SUPERF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-Città,SAN  DONATO,151920005,via .A.Moro,1520822,5030727,103.19,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,SAN BASSANO ,19088.0003,p.zza Kennedy,1563511.125,5010176,58,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,SAN BENEDETTO PO,92,via Campasso - Portiolo,1646150,4989260,15,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,SAN BENEDETTO PO,93,via Crociare - Portiolo,1646180,4989600,16.29999924,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,SAN DANIELE PO,19089.0002,via XXV Aprile,1592744.125,4990492.5,35,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,SAN GIACOMO DELLE SEGNATE,94,piazza Martiri di belfiore 77,1660530,4981750,16.60000038,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,SAN GIOVANNI DOSSO,96,Comune,1664380,4982600,14,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,SAN GIOVANNI IN CROCE,19090.0001,via Busi,1608405,4992581.5,26,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,SAN MARTINO,97,Belletti Guglielmo,1619010,4994120,26.8,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,SANNAZZARO,60,viale Loreto,1492065,4994625,86,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,SANTA CRISTINA 1,14,via Milano,1531060,5000720,71,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,SCANDOLARA RAVARA,19092.0004,via Chiesa,1602689.75,4989718.5,30,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,SEDRIANO                                      ,152040003, via Fagnani ,1497773.996,5037221,144.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Città,SEGRATE,152050140,idroscalo,1523056,5035094,110.72,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Par.,SENAGO,152060004,via Adda,1510325,5047249,169.78,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,SERGNANO,19094.0004,via Vallarsa,1554757,5030594,85,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,SESTO C.,PO1212000200T0,Abbazia S.P.S. Donato,1471395,5064270,208.22,,X,PROFONDA (valle Ticino),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - MONZA,SESTO SAN GIOVANNI- CAP,152090016,via Tevere,1520400,5044400,121.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Città,SETTALA,152100004,depuratore,1530907,5030968,98.83,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Par.,SETTIMO MILANESE,152110005,via Fermi,1505114,5036454,132.82,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,SIZIANO 2,62,via I Maggio,1515665,5017899,89.9,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Par.,SOLARO,152130021,via  S.Paolo,1506736,5051480,208,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,SOMMO 2,2,via XXV aprile,1506780,4998055,79,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,SPINEDA,19101.0002,via Circonvallazione,1619319.75,4990670,24,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO,Stelvio - pozzo 98,PO014026OU0001,DELEBIO - via Stelvio 139 ,1536281,5109556,219.878,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,SUISIO - Olmi S.p.a,162091633,"viale Europa, 25",1539574,5055804,230.6,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,TERNO D'ISOLA - F.B.M.  Hudson Italiana S.p.a.,162130228,"via Valtrighe, 5",1541227,5059580,233.4,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,TORNATA,19106.0003,via della Pace,1612703.125,4995678,29,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,TORRAZZA COSTE,22,S. Giorgio,1505680,4980505,116,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,TORRE D'ARESE 1,9,via Morivione,1525160,5009820,77.4,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,TORREBERETTI 1,25,Via Pascoli,1489690,5006080,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,TRAVAGLIATO - ASM,33,mulini via Valverde,1584265,5042055,132.5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,TREVIGLIO - SAME Deutz Fahr Group S.p.a.,162190302,"viale Cassani, 15",1545466,5041662,127.6,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Par.,TREZZANO S/N ,152210001,via Edison,1505043,5029703,113.21,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,TROMELLO 1,61,Castellaro,1477165,4991375,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO,Tuf - pozzo 3,PO014066NR0001,TIRANO - Loc. frutteto Tuf,1589667,5117945,422.185,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,TURATE - Comune - pozzo 6,2(3),C.I.E. n.2,1501039,5054988,240,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,URAGO D'OGLIO - COGEME,34,via Castelcovati,1568653,5040167,131,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,URGNANO - Amministrazione Comunale,162220004,via dei Gasgnoli,1553309,5049721,169.8,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC,USMATE VELATE,PC15227001,VALAPERTA1,1527651,5056898,239.5,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,VAILATE,19112.0003,via Carducci,1547462.5,5034885,102,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO,Valeriana - pozzo Campo Coni,PO014061OU0001,SONDRIO - via Valeriana ,1565898,5113030,286.628,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,VALLE LOMELLINA 1,43,,1473630,4999300,101.7,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Par.,VANZAGHELLO,152490020,c.na Fogna,1482365,5046716,191.5,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Par.,VANZAGHELLO,152490004,c.na Fogna,1482365,5046716,191.5,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,VENEGONO I.,PO1213600100T0,via Sordelli 1,1492370,5064980,323.5,,X,MISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC,VERDERIO SUPERIORE,PC09788001,SAN CARLO - via San Carlo,1533927,5057534,248,,X, 2/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC,VERDERIO SUPERIORE (**),PI097088101,GAVAZZI,1535595,5057015,250.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Par.,VERMEZZO,152350001,via Dante,1498615,5026490,113.52,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - Città,VERNATE,152360003,Pasturago,1506074,5019419,100.79,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,VEROLAVECCHIA - COGEME,35,Vill. Paolo VI,1582350,5019890,64,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,VERRUA 2,19,Canova,1513160,4994640,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,VIADANA,105,v.le Lombardia 33,1619120,4976220,25,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,VIGEVANO 4,47,presso Coop,1489525,5017860,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,VIGEVANO - 17,49,Corso Brodolini,1488985,5016985,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,VIGEVANO - 20,50,via S. Maria,1488935,5017060,103,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,VIGEVANO 9,48,Vallettta Fogliano,1487880,5016710,117,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,VIGNATE ,152370002,via Marconi ,1529485,5038157,117.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,VILLA CARCINA - ARPA,36,via dei Cairoli,1593295,5053355,232.5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - MONZA,VIMERCATE - CAP,152410041,IBM pozzo E,1528045,5053045,180.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,VOGHERA 1,27,via Volturno,1501045,4981950,98.4,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,VOGHERA 8,20,via Bassi,1499680,4983305,90.5,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,ZERBOLÒ 1,3,Viale Libertà,1501220,5005810,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,ZINASCO 2,1,S.P. Alessandria-Pavia,1501635,4996750,82.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
