PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y,Q,NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02
PV,ALBONESE 1,35,,1477055,5015750,116,,,,,,,,,,,,,112.56,112.53,112.28,112.05,,,,,,,,,
PV,BELGIOIOSO 5,12,via Dante,1523740,5000800,75.8,,X,1,,,,,,,,,65.56,65.43,65.13,64.73,64.6,64.35,64.39,64.09,63.95,64.64,64.62,64.9,65.5,65.45
PV,BEREGUARDO 2,28,via S. Antonino,1502480,5011810,95,,X,2,,,,,,,,,81.19,79.75,79.65,78.69,78.15,79.97,80.04,79.6,,80.5,79.45,80.79,80.99,80.96
PV,BEREGUARDO 4,28,Via S. Antonino,1502530,5011330,98,,,,,,,,,,,,90.59,90.7,90.8,90.8,89.8,,,,,,,,,
PV,BORNASCO 1,7,presso Municipio,1517200,5012745,82,,X,1,,,,,,,,,,77.67,77.39,77.47,77.21,76.95,77.1,77.84,,77.38,77.38,77.83,78.12,77.86
PV,BREME 1,52,Presso Municipio,1470225,4997100,95.7,,,,,,,,,,,,93.38,93.26,92.95,92.6,92.52,,,,,,,,,
PV,CANDIA 1,45,,1468415,5003205,103.2,,X,2,,,,,,,,,101.54,99.8,99.94,99.48,99.57,99.2,99.35,99.23,99.65,101.4,101.56,101.6,101.41,100.4
PV,CASEI GEROLA 2,21,St. per Castelnuovo ,1494095,4983105,80.9,,X,1,,,,,,,,,73.21,73.02,73,72.9,72.9,72.85,73,73.1,73.19,73.57,72.97,72.62,72.62,72.48
PV,PORTALBERA 5,13,Cassinassa,1524334,4993150,69,,X,1,,,,,,,,,60.1,59.15,59.12,58.92,58.87,58.69,58.76,58.67,58.42,58.5,58.2,58.21,58.33,58.14
PV,CERGNAGO 1,55,,1482375,5004830,102,,,,,,,,,,,,100.21,99.89,99.71,99.5,99.45,,,,,,,,,
PV,CASSOLNOVO 4,41,via Tornura (pozzo vecchio),1484810,5023820,121,,X,2,,,,,,,,,108.38,107.88,107.44,106.83,106.8,106.7,106.83,106.66,106.92,107.69,107.8,108.34,108.42,107.95
PV,CERVESINA 1,16,,1501295,4989950,70.7,,X,2,,,,,,,,,62.59,62.47,62.67,62.35,62.27,62.17,62.19,62.19,62.18,62.51,62.31,62.27,62.32,62.27
PV,CILAVEGNA 2,38,via Petrarca,1480220,5017495,115.5,,X,1,,,,,,,,,111.98,111.6,111.65,111.56,111.5,111.41,111.56,111.54,111.61,111.56,111.62,111.62,111.62,111.79
PV,CORANA 1,17,Strada per Silvano Pietra,1497225,4989280,70,,,,,,,,,,,,,,,,,,,,,,,,,
PV,CURA 1,6,Borghetto,1520475,5007050,71.4,,X,2,,,,,,,,,68.6,68.9,68.57,67.68,67.57,,67.45,67.2,67.47,67.8,67.35,67.91,68.3,68.05
PV,DORNO,59,via Cordara,1495780,5000315,88.1,,X,2,,,,,,,,,79.4,79.05,78.6,78.15,77.99,77.38,77.4,76.9,76.81,77.37,77.72,78.34,79.22,79.45
PV,GARLASCO 2,23,via Albera,1494570,5003840,91.1,,X,3,,,,,,,,,83.43,83.26,82.63,82.12,81.78,81.45,81.25,80.9,81,81.52,81.63,82.57,83.4,83.1
PV,GARLASCO 3,26,via Bozzola - Palazzeto,1494065,5004980,90.8,,X,1,,,,,,,,,87.1,87.19,86.81,86.45,86.01,85.42,85,84.75,84.1,84.21,84.68,85.5,86.68,87.14
PV,GENZONE 1,10,Via cairoli,1527575,5002880,72.7,,,,,,,,,,,,66.47,65.96,65.68,65.49,65.22,,,,,,,,,
PV,GIUSSAGO 2,8,via Papa Giov. XXIII ,1511200,5014400,92,,X,2,,,,,,,,,,,,,,87.2,88.09,87.7,,88.4,88.49,88.72,88.86,88.36
PV,GIUSSAGO 5,63,Via F.lli Cervi,,,86.7,,,,,,,,,,,,79.77,79.77,79.38,78.99,78.97,,,,,,,,,
PV,SIZIANO 2,62,via I Maggio,1515665,5017899,89.9,,X,2,,,,,,,,,84.02,83.8,83.93,83.73,83.73,83.53,83.69,83.4,83.63,83.98,83.55,84,84.42,83.87
PV,LANDRIANO 4,30,Strada Cerca,1520920,5017805,86.8,,,,,,,,,,,,80.45,80.31,80.27,79.13,78.13,,,,,,,,,
PV,LANGOSCO 2,46,,1465575,5006900,106.3,,,,,,,,,,,,,101.65,101.3,101.02,100.85,,,,,,,,,
PV,LOMELLO,53,,1484075,4995560,90,,,,,,,,,,,,88.31,87.6,87.5,87.21,86.92,,,,,,,,,
PV,MORTARA 1,39,via Marsala,1479160,5010480,108,,X,3,,,,,,,,,102.3,102.05,101.56,101.78,101.48,101.05,100.87,102.16,102.5,102.2,101.87,102.22,102.76,102.44
PV,NICORVO,36,,1474020,5014550,113.9,,,,,,,,,,,,,107.97,107.75,107.4,107.19,,,,,,,,,
PV,OTTOBIANO,56,Strada per Valeggio,1487325,4999890,95.2,,,,,,,,,,,,93.48,91.64,92.08,92.04,89.57,,,,,,,,,
PV,PALESTRO 1,31,presso Municipio,1463525,5016650,120.5,,X,3,,,,,,,,,117.92,117.47,117.2,117,116.86,116.6,116.6,116.4,116.52,117.53,117.5,117.7,118.15,117.56
PV,PAVIA 40,4,Campeggi 1,1510910,5006400,82.6,,,,,,,,,,,,68.56,68.6,69.17,68.1,68.17,,,,,,,,,
PV,PIEVE 2,15,,1534830,4995238,54.9,,X,1,,,,,,,,,52.23,51.79,51.64,51.57,51.48,50.78,51.13,50.8,51.1,51.1,51.15,51.46,51.68,51.46
PV,PINAROLO 1,18,,1512525,4989200,68,,X,1,,,,,,,,,63.55,62.7,63.25,62.51,62.45,62.33,62.37,62.33,62.21,62.4,62.38,62.2,62.16,62.15
PV,ROBBIO,33,via Dentici,1468130,5014730,118.3,,X,3,,,,,,,,,112.17,111.76,111.49,111.19,111.06,110.49,110.86,110.81,110.97,111.72,111.69,112.06,112.18,111.94
PV,SANNAZZARO,60,viale Loreto,1492065,4994625,86,,X,3,,,,,,,,,81.49,81.16,81.26,80.9,80.6,80.47,80.22,80.03,80.2,80.52,79.45,81.17,81.48,81.29
PV,SANTA CRISTINA 1,14,via Milano,1531060,5000720,71,,X,2,,,,,,,,,54.26,54.59,54.8,54.36,53.4,53.67,54.1,52.9,54.02,53,53,53.27,54.37,54.18
PV,SOMMO 2,2,via XXV aprile,1506780,4998055,79,,X,3,,,,,,,,,63.1,62.93,63.49,62.67,62.54,62.35,62.35,62.17,62.21,62.46,62.58,59.69,62.95,62.97
PV,TORRAZZA COSTE,22,S. Giorgio,1505680,4980505,116,,X,1,,,,,,,,,113.18,112.94,113.12,113.31,113.25,113.21,113.28,113.26,113.25,113.33,113.2,113.15,113.33,113.29
PV,TORRE D'ARESE 1,9,via Morivione,1525160,5009820,77.4,,X,3,,,,,,,,,74.28,73.8,74.39,73.6,73.28,,73.18,74.05,73,73.14,73.6,73.72,74.3,74.17
PV,TROMELLO 1,61,Castellaro,1477165,4991375,92,,,,,,,,,,,,92.08,90.95,90.1,89.93,89.99,,,,,,,,,
PV,VALLE LOMELLINA 1,43,,1473630,4999300,101.7,,X,3,,,,,,,,,99.91,98.7,98.36,98.16,97.9,97.58,97.49,97.37,97.72,99.37,99.82,100,99.87,98.82
PV,VERRUA 2,19,Canova,1513160,4994640,60,,,,,,,,,,,,57.08,57.07,57.98,56.83,56.8,,,,,,,,,
PV,VIGEVANO 17,49,Corso Brodolini,1488985,5016985,102.5,,,,,,,,,,,,99.62,99.2,98.76,98.27,98.07,,,,,,,,,
PV,VIGEVANO 20,50,via S. Maria,1488935,5017060,103,,X,1,,,,,,,,,99.32,98.97,98.57,98.08,97.88,97.42,97.6,98.65,97.3,98.15,98.43,99.2,99.4,99
PV,VIGAVANO 4,47,presso Coop,1489525,5017860,103.5,,,,,,,,,,,,96.12,96.04,95.7,95.56,95.45,,,,,,,,,
PV,VIGEVANO 9,48,Vallettta Fogliano,1487880,5016710,117,,X,3,,,,,,,,,106.07,106.54,106.06,105.06,105.8,105.05,104.28,105.5,105.84,105.54,105.6,105.9,105.96,106.22
PV,VOGHERA 1,27,via Volturno,1501045,4981950,98.4,,X,2,,,,,,,,,75.2,75.16,75.3,75.3,74.9,74.5,74.39,74.2,74.2,74.6,74.3,73.9,73.8,73.9
PV,VOGHERA 8,20,via Bassi,1499680,4983305,90.5,,X,3,,,,,,,,,74.51,74.3,74.3,73.9,73.7,,73.15,73,73.58,73.15,72.82,72.8,72.69,72.7
PV,ZERBOLÒ 1,3,Viale Libertà,1501220,5005810,67.7,,,,,,,,,,,,,67.05,67.01,66.89,66.83,,,,,,,,,
PV,ZINASCO 2,1,S.P. Alessandria-Pavia,1501635,4996750,82.2,,,,,,,,,,,,67.91,67.64,67.52,67.25,67.1,,,,,,,,,
