PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y,Q,NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02,gen-03,feb-03,mar-03,apr-03,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q,ANNO,PROFONDITA' COLONNA
PV,LANGOSCO 2,46,,1465575,5006900,106.3,,,,,,,,,,,,,101.65,101.3,101.02,100.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,NICORVO,36,,1474020,5014550,113.9,,,,,,,,,,,,,107.97,107.75,107.4,107.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,PALESTRO 1,31,presso Municipio,1463525,5016650,120.5,,X,3,,,,,,,,,117.92,117.47,117.2,117,116.86,116.6,116.6,116.4,116.52,117.53,117.5,117.7,118.15,117.56,,,,116.94,116.72,,,172,197,172,197,,,,,,,,,,,,,,,,,,,,,,,,,,,200
PV,VALLE LOMELLINA 1,43,,1473630,4999300,101.7,,X,3,,,,,,,,,99.91,98.7,98.36,98.16,97.9,97.58,97.49,97.37,97.72,99.37,99.82,100,99.87,98.82,,,,98.02,97.7,,,112,137,112,117,122,137,,,,,,,,,,,,,,,,,,,,,,,,,130
PV,ROBBIO,33,via Dentici,1468130,5014730,118.3,,X,3,8,,,,,,,,112.17,111.76,111.49,111.19,111.06,110.49,110.86,110.81,110.97,111.72,111.69,112.06,112.18,111.94,,,,111.1,110.74,,,103,146,103,121,138,146,,,,,,,,,,,,,,,,,,,,,,,,,160
PV,ALBONESE 1,35,,1477055,5015750,116,,,,,,,,,,,,,112.56,112.53,112.28,112.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,CERGNAGO 1,55,,1482375,5004830,102,,,,,,,,,,,,100.21,99.89,99.71,99.5,99.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,CILAVEGNA 2,38,via Petrarca,1480220,5017495,115.5,,X,1,,,,,,,,,111.98,111.6,111.65,111.56,111.5,111.41,111.56,111.54,111.61,111.56,111.62,111.62,111.62,111.79,,,,111.42,111.29,,,41,48.5,41,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,51
PV,MORTARA 1,39,via Marsala,1479160,5010480,108,,X,3,,,,,,,,,102.3,102.05,101.56,101.78,101.48,101.05,100.87,102.16,102.5,102.2,101.87,102.22,102.76,102.44,,,,102.32,102.05,,,154.5,194,154.5,157.5,162,170,177.5,185.5,188,194,,,,,,,,,,,,,,,,,,,,,207
PV,NICORVO,36,,1474020,5014550,113.9,,,,,,,,,,,,,107.97,107.75,107.4,107.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,TROMELLO 1,61,Castellaro,1477165,4991375,92,,,,,,,,,,,,92.08,90.95,90.1,89.93,89.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,CASSOLNOVO 4,41,via Tornura (pozzo vecchio),1484810,5023820,121,,X,2,,,,,,,,,108.38,107.88,107.44,106.83,106.8,106.7,106.83,106.66,106.92,107.69,107.8,108.34,108.42,107.95,,,,106.93,106.62,,,88.5,96.5,88.5,96.5,,,,,,,,,,,,,,,,,,,,,,,,,,,100
PV,TROMELLO 1,61,Castellaro,1477165,4991375,92,,,,,,,,,,,,92.08,90.95,90.1,89.93,89.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,VIGEVANO 17,49,Corso Brodolini,1488985,5016985,102.5,,,,,,,,,,,,99.62,99.2,98.76,98.27,98.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,VIGEVANO 20,50,via S. Maria,1488935,5017060,103,,X,1,,,,,,,,,99.32,98.97,98.57,98.08,97.88,97.42,97.6,98.65,97.3,98.15,98.43,99.2,99.4,99,,,,97.68,97.34,,,30,42,30,42,,,,,,,,,,,,,,,,,,,,,,,,,,,55
PV,VIGAVANO 4,47,presso Coop,1489525,5017860,103.5,,,,,,,,,,,,96.12,96.04,95.7,95.56,95.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,VIGEVANO 9,48,Vallettta Fogliano,1487880,5016710,117,,X,3,,,,,,,,,106.07,106.54,106.06,105.06,105.8,105.05,104.28,105.5,105.84,105.54,105.6,105.9,105.96,106.22,,,,105.6,105.52,,,148,197,148,166.5,197,,,,,,,,,,,,,,,,,,,,,,,,,,203
PV,TROMELLO 1,61,Castellaro,1477165,4991375,92,,,,,,,,,,,,92.08,90.95,90.1,89.93,89.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,BREME 1,52,Presso Municipio,1470225,4997100,95.7,,,,,,,,,,,,93.38,93.26,92.95,92.6,92.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,LOMELLO,53,,1484075,4995560,90,,,,,,,,,,,,88.31,87.6,87.5,87.21,86.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,PIEVE 2,15,,1534830,4995238,54.9,,X,1,,,,,,,,,52.23,51.79,51.64,51.57,51.48,50.78,51.13,50.8,51.1,51.1,51.15,51.46,51.68,51.46,,,,52.44,52.08,,,12,18,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,25
PV,TORREBERETTI 1,25,Via Pascoli,1489690,5006080,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,MEDE 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,DORNO,59,via Cordara,1495780,5000315,88.1,,X,2,,,,,,,,,79.4,79.05,78.6,78.15,77.99,77.38,77.4,76.9,76.81,77.37,77.72,78.34,79.22,79.45,,,,78.1,77.82,,,86,101,86,101,,,,,,,,,,,,,,,,,,,,,,,,,,,104
PV,GARLASCO 2,23,via Albera,1494570,5003840,91.1,,X,3,,,,,,,,,83.43,83.26,82.63,82.12,81.78,81.45,81.25,80.9,81,81.52,81.63,82.57,83.4,83.1,,,,81.72,81.55,,,142,156,142,156,,,,,,,,,,,,,,,,,,,,,,,,,,,160
PV,GARLASCO 3,26,via Bozzola - Palazzeto,1494065,5004980,90.8,,X,1,,,,,,,,,87.1,87.19,86.81,86.45,86.01,85.42,85,84.75,84.1,84.21,84.68,85.5,86.68,87.14,,,,85.89,85.41,,,28,51,28,38,41,51,,,,,,,,,,,,,,,,,,,,,,,,,57
PV,LOMELLO,53,,1484075,4995560,90,,,,,,,,,,,,88.31,87.6,87.5,87.21,86.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,OTTOBIANO,56,Strada per Valeggio,1487325,4999890,95.2,,,,,,,,,,,,93.48,91.64,92.08,92.04,89.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,SANNAZZARO,60,viale Loreto,1492065,4994625,86,,X,3,,,,,,,,,81.49,81.16,81.26,80.9,80.6,80.47,80.22,80.03,80.2,80.52,79.45,81.17,81.48,81.29,,,,80.42,80.42,,,94,142,94,100,106,114,130,142,,,,,,,,,,,,,,,,,,,,,,,150
PV,ZINASCO 2,1,S.P. Alessandria-Pavia,1501635,4996750,82.2,,,,,,,,,,,,67.91,67.64,67.52,67.25,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,DORNO,59,via Cordara,1495780,5000315,88.1,,X,2,,,,,,,,,79.4,79.05,78.6,78.15,77.99,77.38,77.4,76.9,76.81,77.37,77.72,78.34,79.22,79.45,,,,78.1,77.82,,,86,101,86,101,,,,,,,,,,,,,,,,,,,,,,,,,,,104
PV,GARLASCO 2,23,via Albera,1494570,5003840,91.1,,X,3,,,,,,,,,83.43,83.26,82.63,82.12,81.78,81.45,81.25,80.9,81,81.52,81.63,82.57,83.4,83.1,,,,81.72,81.55,,,142,156,142,156,,,,,,,,,,,,,,,,,,,,,,,,,,,160
PV,GARLASCO 3,26,via Bozzola - Palazzeto,1494065,5004980,90.8,,X,1,,,,,,,,,87.1,87.19,86.81,86.45,86.01,85.42,85,84.75,84.1,84.21,84.68,85.5,86.68,87.14,,,,85.89,85.41,,,28,51,28,38,41,51,,,,,,,,,,,,,,,,,,,,,,,,,57
PV,SOMMO 2,2,via XXV aprile,1506780,4998055,79,,X,3,,,,,,,,,63.1,62.93,63.49,62.67,62.54,62.35,62.35,62.17,62.21,62.46,62.58,59.69,62.95,62.97,,,,62.81,62.61,,,149,165,149,157,161,165,,,,,,,,,,,,,,,,,,,,,,,,,184
PV,ZERBOLÒ 1,3,Viale Libertà,1501220,5005810,67.7,,,,,,,,,,,,,67.05,67.01,66.89,66.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,ZINASCO 2,1,S.P. Alessandria-Pavia,1501635,4996750,82.2,,,,,,,,,,,,67.91,67.64,67.52,67.25,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
