CODICETOOL,PROV,COMUNE,DENOMINAZIONE,CODICE,LOCALITA,X,Y,Q,NOTE,STRAT.,FALDA,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q.1,ANNO,PROFONDITA' COLONNA,SETTORE,ORIGINE
A.I. GORDONAPO014032OR0001,SO,A.I. GORDONA,,PO014032OR0001,GORDONA - Area Industriale,1529150,5125002,227.965,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ALBAIRATE0150050010,MI - Par.,ALBAIRATE,,150050010,c.na Faustina PRIV.,1495936,5028883,123.16,C.na Faustina PRIV.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,PTUA2003
ALBIZZATEPO1200200800T0,VA,ALBIZZATE,,PO1200200800T0,via G. Rossa 8,1485030,5065340,317.9,,X,SUPERF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BORNASCO7,PV,BORNASCO,1,7,presso Municipio,1517200,5012745,82,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ARCISATEPO1200400100T0,VA,ARCISATE,,PO1200400100T0,via Piave,1489675,5078705,362.22,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
AZZANO MELLA4,BS,AZZANO MELLA,ARPA,4,C.na bonifica Nuova,1586806,5037145,101,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BAGNOLO MELLA5,BS,BAGNOLO MELLA,ASM,5,via Montegrappa,1593133,5030861,86,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BASIGLIO0150150001,MI - CittÃ ,BASIGLIO,,150150001,p.zza M. Rossi-Chiesa,1512870,5021817,96.68,p.za M.Rossi-Chiesa,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,PTUA2003
BELGIOIOSO12,PV,BELGIOIOSO,5,12,via Dante,1523740,5000800,75.8,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
POMPIANO28,BS,POMPIANO,COGEME,28,via Noce,1577244,5031736,93.7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BERGAMO0160240273,BG,BERGAMO,N. Istit. Ital. d' Arti Grafiche S.p.a.,160240273,via Zanica,1552436,5057637,231.4,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,51,55,20,1965,86,,PTUA2003
BERNATE TICINO0150190001,MI - Par.,BERNATE TICINO,,150190001,via Pellico-Casate,1486563,5037866,139.53,v.Pellico-Casate,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,PTUA2003
BERNINAPO014061OU0002,SO,BERNINA,pozzo 4,PO014061OU0002,SONDRIO -via Bernina ,1566441,5113304,292.913,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BOARIOPO014066OU0001,SO,BOARIO,,PO014066OU0001,TIRANO - Foro Boario,1589850,5118181,425.776,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PIEVE15,PV,PIEVE,ASM - 2,15,,1534830,4995238,54.9,,X,1,12,18,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,PTUA2003
CURTATONE45,MN,CURTATONE,,45,via Donatori sangue,1639420,4998740,26.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
COMEZZANO13,BS,COMEZZANO,CIZZAGO   COGEME,13,Pozzo centro Cizzago,1574308,5035632,106.5,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PORTALBERA13,PV,PORTALBERA,ASM - 5,13,Cassinassa,1524334,4993150,69,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CARONNO P.PO1203400600T0,VA,CARONNO P.,,PO1203400600T0,via della Vittoria,1503390,5049745,192.5,,X,MISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASALE LITTAPO1203600300T0,VA,CASALE LITTA,,PO1203600300T0,Firello - Villa Dosia,1479360,5065190,280.72,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MONTIRONE23,BS,MONTIRONE,ASM,23,via Mercanti,1596004,5033224,100.8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASEI GEROLA21,PV,CASEI GEROLA,2,21,St. per Castelnuovo ,1494095,4983105,80.9,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASSANO D'ADDA0150590001,MI - CittÃ ,CASSANO D'ADDA,,150590001,Muzza I-5 Martiri,1540544,5041200,116.7,Muzza I-5 Martiri,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,PTUA2003
GARLASCO26,PV,GARLASCO,3,26,via Bozzola - Palazzeto,1494065,5004980,90.8,,X,1,28,51,28,38,41,51,,,,,,,,,,,,,,,,,,,,,,,,,57,,PTUA2003
CAVENAGO D'ADDA0980170003,LO,CAVENAGO D'ADDA,CAP             ,980170003,via Valsecchi serb.,1547241,5014694,70.73,v.Valsecchi serb.,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,PTUA2003
CAVRIANA37,MN,CAVRIANA,,37,Bassignani Cave s.n.c.,1625500,5020470,61.2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CERVIGNANO D'ADDA0980180001,LO,CERVIGNANO D'ADDA,CAP               ,980180001,p.zza Caduti,1533303,5024632,81.68,p.za Caduti,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,PTUA2003
CHIGNOLO D'ISOLA0160722490,BG,CHIGNOLO D'ISOLA,Bergum Impianti / Flag,160722490,"via Industriale, 1",1541538,5057511,214.9,,X,1,42,72,42,46,52,62,66,72,,,,,,,,,,,,,,,,,,,50,57,10.5,1967,78,,PTUA2003
CILAVEGNA38,PV,CILAVEGNA,ASM - 2,38,via Petrarca,1480220,5017495,115.5,,X,1,41,48.5,41,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,PTUA2003
CITTIGLIOPO1205100100T0,VA,CITTIGLIO,,PO1205100100T0,Municipio,1474310,5082435,245,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CORBETTA0150850004,MI - Par.,CORBETTA,,150850004,via Veneto,1494156.004,5034189.999,132.09,v.Veneto x Batuello,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,PTUA2003
CORNAREDO0150870001,MI - Par.,CORNAREDO,,150870001,Campo Sportivo I,1501530,5037775,136.84,Campo Sportivo I,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,PTUA2003
COTONIPO014061OR0001,SO,COTONI,n.4,PO014061OR0001,SONDRIO - Marzotto,1567250,5112867,294.392,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
DESIO0151000003,MI - MONZA,DESIO,CAP,151000003,via Torricelli,1516295,5051936,146.19,via Torricelli,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,PTUA2003
GALLARATEPO1207000900T0,VA,GALLARATE,,PO1207000900T0,via Alberone - via Ferrari,1483140,5055620,235,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GALLARATEPO1207002201T0,VA,GALLARATE,,PO1207002201T0,via Monte S. Martino,1482360,5058150,271,,X,MISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GERENZANOPO1207502002T0,VA,GERENZANO,,PO1207502002T0,Discarica - controllo,1497940,5052150,220.65,,X,SUPERF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GESSATE0151060008,MI-CittÃ ,GESSATE,,151060008,p.zza Aturia 9,1534449,5044895,128.3,p.za Aturia,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,PTUA2003
GONZAGA53,MN,GONZAGA,,53,via degli Arduini 22 - Bondeno,1646490,4978450,19,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PINAROLO18,PV,PINAROLO,1,18,,1512525,4989200,68,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LONATE P.PO1209000902T0,VA,LONATE P.,,PO1209000902T0,via Molinelli - Bellaria,1477670,5005023,207.4,,X,SUPERF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LUINOPO1209202100T0,VA,LUINO,,PO1209202100T0,via Forlanini,1480320,5093625,214.1,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MALEO0980350002,LO,MALEO,CAP                                  ,980350002,p.zza 25 Aprile,1560100,5001920,44.76,p.za 25 Aprile,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,PTUA2003
MARCARIA62,MN,MARCARIA,,62,Trofelli Giudo,1627770,4991910,23.1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MILANO0151461120,MI - CittÃ ,MILANO,Fogn. PZ 40,151461120,,1513631,5033934,117.74,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MILANO0151461313,MI - CittÃ ,MILANO,Fogn. PZ 43  ,151461313,,1519749,5037968,119.3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MILANO0151461379,MI - CittÃ ,MILANO,Fogn. PZ 54,151461379,,1518799,5029419,103.4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MILANO0151461435,MI - CittÃ ,MILANO,Fogn. PZ 20,151461435,,1509933,5031679,114.2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MILANO0151461534,MI - CittÃ ,MILANO,Fogn.PZ 4,151461534,,1510149,5040199,138.83,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MONZAMBANO70,MN,MONZAMBANO,,70,Tosi Giovanni,1631850,5023970,110.2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MORNAGOPO1210601504T0,VA,MORNAGO,,PO1210601504T0,Montonate,1481720,5065240,289.7,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
OFFANENGO019062.0005,CR,OFFANENGO,,19062.0005,via Dante,1557924.5,5025552,81,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ORIO LITTA0980420003,LO,ORIO LITTA,CAP                         ,980420003,via Pio Rossi,1543820,5000952,51.5,via Pio Rossi,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,PTUA2003
PALOSCO0161573380,BG,PALOSCO,Valtulini Giacomo,161573380,C.na Gritti,1564511,5046783,149.2,,X,1,16.58,48.5,16.58,48.5,,,,,,,,,,,,,,,,,,,,,,,15.2,,,1990,51.5,,PTUA2003
PESCHIERA BORROMEO0151710197,MI - CittÃ ,PESCHIERA BORROMEO,,151710197,FEM Mezzate,1522946,5032854,105.61,FEM Mezzate,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,PTUA2003
PIEVE FISSIRAGA0980450001,LO,PIEVE FISSIRAGA,CAP            ,980450001,C.na S.Antonio,1535548,5013741,72.89,C.na S.Antonio,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PONTI SUL MINCIO80,MN,PONTI SUL MINCIO,,80,Scala Erbesti Giuseppina,1633160,5027910,64.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
RESCALDINA0151810001,MI - Par.,RESCALDINA,,151810001,"via Melzi Comune, 1",1496143.502,5051419.778,180.25,via Melzi-Comune I,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,PTUA2003
REVERE85,MN,REVERE,,85,via Smerrieri 4,1667680,4989800,14.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
RHO0151820106,MI - Par.,RHO,,151820106,Alumix spa via S.Martino,1503760,5039860,138.59,Alumix spa via S.Martino,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,PTUA2003
RIPALTA CREMASCA019081.0002,CR,RIPALTA CREMASCA,,19081.0002,Loc. Zappello,1554044,5020362,76,,X,1,137,149,137,149,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,PTUA2003
ROVELLASCA3(5),CO,ROVELLASCA,Cons. Lura Ambiente   pozzo 2,3(5),via Dante,1504185,5057342,247,,X,MISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ROVERBELLA89,MN,ROVERBELLA,,89,via Giulio Romano 12,1641740,5013610,36.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SANT'ANGELO LODIGIANO0980500005,LO,SANT'ANGELO LODIGIANO,CAP               ,980500005,fraz.Ranera,1532041,5007048,68.25,fraz.Ranera,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,PTUA2003
SAN ROCCO AL PORTO0980490001,LO,SAN ROCCO AL PORTO,CAP        ,980490001,via Acquedotto,1554770,4992220,43.59,via Acquedotto,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,PTUA2003
SAMARATEPO1211800500T0,VA,SAMARATE,,PO1211800500T0,via Mezzomonte - C. Costa,1481085,5052910,223.7,,X,SUPERF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SAN GIACOMO DELLE SEGNATE94,MN,SAN GIACOMO DELLE SEGNATE,,94,piazza Martiri di belfiore 77,1660530,4981750,16.60000038,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SERGNANO019094.0004,CR,SERGNANO,,19094.0004,via Vallarsa,1554757,5030594,85,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SETTALA0152100004,MI - CittÃ ,SETTALA,,152100004,depuratore,1530907,5030968,98.83,depuratore,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,PTUA2003
STELVIOPO014026OU0001,SO,STELVIO,pozzo 98,PO014026OU0001,DELEBIO - via Stelvio 139 ,1536281,5109556,219.878,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
TERNO D'ISOLA0162130228,BG,TERNO D'ISOLA,F.B.M.  Hudson Italiana S.p.a.,162130228,"via Valtrighe, 5",1541227,5059580,233.4,,X,MISTA 1/2,30,120,30,34,38,42,46,50,68,72,78,84,90,96,102,108,114,120,,,,,,,,,65,96,,1975,178,,PTUA2003
TORRAZZA COSTE22,PV,TORRAZZA COSTE,,22,S. Giorgio,1505680,4980505,116,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
TORRAZZA22,PV,TORRAZZA,COSTE,22,S. Giorgio,1505680,4980505,116,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
TREZZANO SUL NAVIGLIO0152210001,MI - Par.,TREZZANO SUL NAVIGLIO,,152210001,via Edison,1505043,5029703,113.21,via Visconti,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,PTUA2003
TREZZO SULL'ADDA0152210001,MI - Par.,TREZZO SULL'ADDA,,152210001,,1540543,5051091,141.68,via Visconti,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,PTUA2003
TUFPO014066NR0001,SO,TUF,pozzo 3,PO014066NR0001,TIRANO - Loc. frutteto Tuf,1589667,5117945,422.185,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
VANZAGHELLO0152490020,MI - Par.,VANZAGHELLO,,152490020,c.na Fogna,1482365,5046716,191.5,C.La Fogna piez,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
VENEGONO I.PO1213600100T0,VA,VENEGONO I.,,PO1213600100T0,via Sordelli 1,1492370,5064980,323.5,,X,MISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
VIGEVANO50,PV,VIGEVANO,20,50,via S. Maria,1488935,5017060,103,,X,1,30,42,30,42,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,PTUA2003
