gid,id_punto,id_originale,id_ente,tipo_punto,id_acquifero,id_hydros,presenza_strat,stratigrafia_pdf,istat_comune,istat_prov,x_sr1,y_sr1,x_sr2,y_sr2,quota_testa_tubo,nota_coordinate,quota_piano_campagna,fonte_quota_piano_campagna,indirizzo_punto,ente_gestore,proprieta,indirizzo_proprieta,fonte,bacino_idro,note
1,PO0160130R0002,,,POZZO,,,,,ARZAGO D'ADDA,BG,1545721.0,5035382.0,545694.0,5035362.0,106.0,,106.0,,,,,,PTUA2022,IT03GWBISSMPAO,
2,PO0160240R0273,,,POZZO,,,,,BERGAMO,BG,1552434.0,5057641.0,552407.0,5057621.0,231.478,,231.478,,,,,,PTUA2022-PTUA2003,IT03GWBISSAPAO,N. Istit. Ital. d' Arti Grafiche S.p.a.-via Zanica
3,PO0160240R0296,,,PIEZOMETRO,,,,,BERGAMO,BG,1552422.0,5057977.0,552395.0,5057957.0,232.0,,232.0,,,,,,PTUA2022,IT03GWBISSAPAO,
4,PO0160280R0003,,,PIEZOMETRO,,,,,BOLGARE,BG,1563297.0,5053209.0,563270.0,5053189.0,192.624,,192.474,,,,,,PTUA2022,IT03GWBISSAPAO,
5,PO0160400U0001,,,POZZO,,,,,BRIGNANO GERA D'ADDA,BG,1550989.0,5043697.0,550962.0,5043677.0,130.0,,130.0,,,,,,PTUA2022,IT03GWBISSAPAO,
6,PO016042NU0001,,,POZZO,,,,,BRUSAPORTO,BG,1560042.0,5057541.0,560015.0,5057521.0,232.0,,232.0,,,,,,PTUA2022,IT03GWBISSAPAO,
7,PO0160510R0161,,,POZZO,,,,,CAPRIATE SAN GERVASIO,BG,1541744.0,5050891.0,541717.0,5050871.0,187.12,,187.12,,,,,,PTUA2022,IT03GWBISSAPAO,
8,PO0160750U0002,,,POZZO,,,,,CISERANO,BG,1546806.0,5047858.0,546779.0,5047838.0,159.316,,158.566,,,,,,PTUA2022,IT03GWBISSAPAO,
9,PO0160750U0003,,,PIEZOMETRO,,,,,CISERANO,BG,1548113.0,5048625.0,548086.0,5048605.0,159.04,,159.04,,,,,,PTUA2022,IT03GWBISSAPAO,
10,PO0160760R1284,,,PIEZOMETRO,,,,,CIVIDATE AL PIANO,BG,1565680.0,5042216.0,565653.0,5042196.0,131.5,,131.5,,,,,,PTUA2022,IT03GWBISSAPAO,
11,PO0160830R0001,,,POZZO,,,,,CORTENUOVA,BG,1561898.0,5042230.0,561871.0,5042210.0,130.43,,130.43,,,,,,PTUA2022,IT03GWBISSAPAO,
12,PO0160870R0001,,,POZZO,,,,,COVO,BG,1559535.0,5038855.0,559508.0,5038835.0,114.6,,114.6,,,,,,PTUA2022,IT03GWBISSMPAO,
13,PO0160890R0001,,,POZZO,,,,,CURNO,BG,1546246.0,5058675.0,546219.0,5058655.0,201.044,,200.294,,,,,,PTUA2022,IT03GWBISSAPAO,
14,PO0160960U0001,,,POZZO,,,,,FARA GERA D'ADDA,BG,1541590.0,5044959.0,541563.0,5044939.0,131.0,,131.0,,,,,,PTUA2022,IT03GWBISSAPAO,
15,PO0160980R0009,,,PIEZOMETRO,,,,,FILAGO,BG,1541822.0,5054580.0,541795.0,5054560.0,202.836,,202.836,,,,,,PTUA2022,IT03GWBISSAPAO,
16,PO0161010R0001,,,POZZO,,,,,FONTANELLA,BG,1563895.0,5036351.0,563868.0,5036331.0,110.02,,110.02,,,,,,PTUA2022,IT03GWBISSMPAO,
17,PO0161130R0001,,,POZZO,,,,,GHISALBA,BG,1559921.0,5049763.0,559894.0,5049743.0,169.0,,169.0,,,,,,PTUA2022,IT03GWBISSAPAO,
18,PO0161150R0118,,,POZZO,,,,,GORLE,BG,1555493.0,5060225.0,555466.0,5060205.0,261.5,,261.5,,,,,,PTUA2022,IT03GWBISSAPAO,
19,PO0161150U0002,,,PIEZOMETRO,,,,,GORLE,BG,1555777.0,5060403.0,555750.0,5060383.0,262.955,,262.955,,,,,,PTUA2022,IT03GWBISSAPAO,
20,PO0161170R0112,,,POZZO,,,,,GRASSOBBIO,BG,1557640.0,5053380.0,557613.0,5053360.0,195.1,,195.1,,,,,,PTUA2022,IT03GWBISSAPAO,
21,PO016117NU0001,,,PIEZOMETRO,,,,,GRASSOBBIO,BG,1556849.0,5054086.0,556822.0,5054066.0,204.898,,204.898,,,,,,PTUA2022,IT03GWBISSAPAO,
22,PO0161220R0519,,,POZZO,,,,,ISSO,BG,1556780.0,5036747.0,556753.0,5036727.0,104.8,,104.8,,,,,,PTUA2022,IT03GWBISSMPAO,
23,PO016123NU0001,,,POZZO,,,,,LALLIO,BG,1548663.0,5057222.0,548636.0,5057202.0,216.8,,216.8,,,,,,PTUA2022,IT03GWBISSAPAO,
24,PO0161260R0002,,,POZZO,,,,,LEVATE,BG,1549398.0,5052203.0,549371.0,5052183.0,183.3,,183.3,,,,,,PTUA2022,IT03GWBISSAPAO,
25,PO0161290R0001,,,POZZO,,,,,LURANO,BG,1550487.0,5045663.0,550460.0,5045643.0,142.426,,142.296,,,,,,PTUA2022,IT03GWBISSAPAO,
26,PO0161330R0158,,,POZZO,,,,,MARTINENGO,BG,1559095.0,5046594.0,559068.0,5046574.0,150.7,,150.7,,,,,,PTUA2022,IT03GWBISSAPAO,
27,PO0161400R0001,,,POZZO,,,,,MORENGO,BG,1554070.0,5044692.0,554043.0,5044672.0,139.3,,139.3,,,,,,PTUA2022,IT03GWBISSAPAO,
28,PO0161530R0004,,,PIEZOMETRO,,,,,OSIO SOTTO,BG,1544489.0,5052062.0,544462.0,5052042.0,182.635,,181.915,,,,,,PTUA2022,IT03GWBISSAPAO,
29,PO0161540R0001,,,POZZO,,,,,PAGAZZANO,BG,1553584.0,5042001.0,553557.0,5041981.0,122.91,,122.73,,,,,,PTUA2022,IT03GWBISSAPAO,
30,PO0161570R3380,,,POZZO,,,,,PALOSCO,BG,1564693.0,5047606.0,564666.0,5047586.0,149.671,,149.501,,,,,,PTUA2022,IT03GWBISSAPAO,
31,PO0161720U0001,,,POZZO,,,,,PONTIROLO NUOVO,BG,1544767.0,5046525.0,544740.0,5046505.0,154.4,,154.4,,,,,,PTUA2022,IT03GWBISSAPAO,
32,PO0161770U0001,,,POZZO,,,,,PUMENENGO,BG,1567775.0,5036488.0,567748.0,5036468.0,110.197,,110.197,,,,,,PTUA2022,IT03GWBISSAPAO,DATI SONDA AUTOMATICA NON VALIDI
33,PO0161830R0003,,,POZZO,,,,,ROMANO DI LOMBARDIA,BG,1559087.0,5041618.0,559060.0,5041598.0,124.207,,124.207,,,,,,PTUA2022,IT03GWBISSAPAO,
34,PO0162070R0001,,,POZZO,,,,,STEZZANO,BG,1551930.0,5055420.0,551903.0,5055400.0,214.0,,214.0,,,,,,PTUA2022,IT03GWBISSAPAO,
35,PO0162120R0001,,,POZZO,,,,,TELGATE,BG,1567114.0,5052583.0,567087.0,5052563.0,191.0,,190.5,,,,,,PTUA2022,IT03GWBISSAPAO,
36,PO0162130R0002,,,PIEZOMETRO,,,,,TERNO D'ISOLA,BG,1541535.0,5059487.0,541508.0,5059467.0,230.29,,230.29,,,,,,PTUA2022,IT03GWBISSAPAO,
37,PO016219NUP001,,,POZZO,,,,,TREVIGLIO,BG,1546081.0,5041378.0,546054.0,5041359.0,127.309,,126.559,,,,,,PTUA2022,IT03GWBISSAPAO,
38,PO0162240R0001,,,POZZO,,,,,VALBREMBO,BG,1546514.0,5062518.0,546487.0,5062498.0,239.214,,239.214,,,,,,PTUA2022,IT03GWBISSAPAO,
39,PO0170020RC545,,,POZZO,,,,,ADRO,BS,1573729.0,5052149.0,573702.0,5052129.0,214.63,,214.63,,,,,,PTUA2022,IT03GWBISSAPOM,
40,PO017122NRP001,,,POZZO,,,,,BARBARIGA,BS,1583867.0,5027930.0,583840.0,5027911.0,80.26,,80.05,,,,,,PTUA2022,IT03GWBISSMPOM,
41,PO017013NRP001,,,POZZO,,,,,BASSANO BRESCIANO,BS,1587770.0,5018673.0,587743.0,5018654.0,61.799,,62.549,,,,,,PTUA2022,IT03GWBISSMPOM,
42,PO0170290RC490,,,POZZO,,,,,BRESCIA,BS,1600991.0,5039616.0,600963.0,5039596.0,135.48,,135.48,,,,,,PTUA2022,IT03GWBISSAPOM,
43,PO0170290UB135,,,PIEZOMETRO,,,,,BRESCIA,BS,1591245.0,5041399.0,591217.0,5041379.0,119.62,,119.62,,,,,,PTUA2022,IT03GWBISSAPOM,
44,PO017029NR0001,,,PIEZOMETRO,,,,,BRESCIA,BS,1591999.0,5038838.0,591971.0,5038818.0,107.06,,107.06,,,,,,PTUA2022,IT03GWBISSAPOM,
45,PO017029NU0001,,,PIEZOMETRO,,,,,BRESCIA,BS,1593209.0,5043760.0,593181.0,5043740.0,139.77,,139.77,,,,,,PTUA2022,IT03GWBISSAPOM,vicino barriera idraulica Caffaro
46,PO0170340RC481,,,PIEZOMETRO,,,,,CALVISANO,BS,1603526.0,5027971.0,603498.0,5027951.0,85.95,,85.8,,,,,,PTUA2022,IT03GWBISSAPOM,
47,PO0170340RC483,,,PIEZOMETRO,,,,,CALVISANO,BS,1604597.0,5024878.0,604569.0,5024858.0,75.97,,75.64,,,,,,PTUA2022,IT03GWBISSAPOM,
48,PO017037NRP001,,,PIEZOMETRO,,,,,CAPRIANO DEL COLLE,BS,1589919.0,5032092.0,589892.0,5032072.0,86.237,,85.787,,,,,,PTUA2022,IT03GWBISSMPOM,
49,PO0170400RC511,,,PIEZOMETRO,,,,,CASTEGNATO,BS,1584432.0,5046137.0,584404.0,5046117.0,157.22,,157.28,,,,,,PTUA2022,IT03GWBISSAPOM,
50,PO0170450RC542,,,POZZO,,,,,CASTREZZATO,BS,1578823.0,5040233.0,578796.0,5040213.0,129.4,,129.92,,,,,,PTUA2022,IT03GWBISSAPOM,
51,PO0170590UC609,,,POZZO,,,,,COLOGNE,BS,1573715.0,5047385.0,573688.0,5047365.0,172.98,,172.98,,,,,,PTUA2022,IT03GWBISSAPOM,
52,PO0170600UC013,,,POZZO,,,,,COMEZZANO - CIZZAGO,BS,1574609.0,5036396.0,574582.0,5036376.0,109.54,,108.89,,,,,,PTUA2022,IT03GWBISSMPOM,
53,PO0170710RC478,,,PIEZOMETRO,,,,,FIESSE,BS,1604088.0,5008251.0,604060.0,5008231.0,41.5,,40.78,,,,,,PTUA2022,IT03GWBISSMPOM,
54,PO017073NUP001,,,POZZO,,,,,GAMBARA,BS,1601147.0,5012366.0,601119.0,5012346.0,48.524,,48.324,,,,,,PTUA2022,IT03GWBISSMPOM,
55,PO0170860UC579,,,POZZO,,,,,ISORELLA,BS,1604146.0,5018664.0,604118.0,5018644.0,55.48,,55.78,,,,,,PTUA2022,IT03GWBISSMPOM,
56,PO0170880RC541,,,PIEZOMETRO,,,,,LENO,BS,1596052.0,5022698.0,596024.0,5022678.0,62.16,,62.16,,,,,,PTUA2022,IT03GWBISSMPOM,
57,PO0171130RC561,,,PIEZOMETRO,,,,,MONTICHIARI,BS,1605394.0,5033615.0,605366.0,5033595.0,118.75,,120.0,,,,,,PTUA2022,IT03GWBISSAPOM,
58,PO017113NRD106,,,POZZO,,,,,MONTICHIARI,BS,1605228.0,5032203.0,605200.0,5032183.0,111.68,,111.28,,,,,,PTUA2022,IT03GWBISSAPOM,
59,PO0171140UC023,,,POZZO,,,,,MONTIRONE,BS,1596343.0,5033180.0,596315.0,5033160.0,98.78,,100.61,,,,,,PTUA2022,IT03GWBISSAPOM,
60,PO0171500UC557,,,POZZO,,,,,PONTOGLIO,BS,1567026.0,5046862.0,566999.0,5046842.0,154.43,,156.23,,,,,,PTUA2022,IT03GWBISSAPOM,
61,PO0171630UC032,,,POZZO,,,,,RODENGO SAIANO,BS,1586957.0,5049659.0,586929.0,5049639.0,172.4,,172.4,,,,,,PTUA2022,IT03GWBISSAPOM,
62,PO0171660UC529,,,POZZO,,,,,ROVATO,BS,1579399.0,5046613.0,579372.0,5046593.0,176.48,,176.48,,,,,,PTUA2022,IT03GWBISSAPOM,
63,PO0171960RC629,,,POZZO,,,,,VEROLAVECCHIA,BS,1581582.0,5015456.0,581554.0,5015436.0,49.54,,50.09,,,,,,PTUA2022,IT03GWBISSMPOM,
64,PO0130230U0003,,,POZZO,,,,,BINAGO,CO,1492831.0,5069906.0,492805.0,5069886.0,372.084,,373.384,,,,,,PTUA2022,IT03GWBISSAPTA,
65,PO0130280U0009,,,POZZO,,,,,BREGNANO,CO,1503977.0,5061937.0,503950.0,5061917.0,281.548,,283.013,,,,,,PTUA2022,IT03GWBISSAPTA,
66,PO013029NU0003,,,POZZO,,,,,BRENNA,CO,1514944.0,5064415.0,514917.0,5064395.0,340.871,,342.371,,,,,,PTUA2022,IT03GWBISSAPTA,
67,PO0130460U0001,,,POZZO,,,,,CARIMATE,CO,1508169.0,5061986.0,508142.0,5061966.0,250.348,,253.598,,,,,,PTUA2022,IT03GWBISSAPTA,
68,PO013064NU0002,,,POZZO,,,,,CERMENATE,CO,1506455.0,5061527.0,506428.0,5061507.0,301.932,,304.572,,,,,,PTUA2022,IT03GWBISSAPTA,
69,PO0131000U0002,,,POZZO,,,,,FENEGRO',CO,1500080.0,5061944.0,500053.0,5061924.0,301.197,,300.817,,,,,,PTUA2022,IT03GWBISSAPTA,
70,PO0131310U0001,,,POZZO,,,,,LOCATE VARESINO,CO,1494622.0,5059677.0,494595.0,5059657.0,272.942,,273.982,,,,,,PTUA2022,IT03GWBISSAPTA,
71,PO0131330U0009,,,POZZO,,,,,LOMAZZO,CO,1502044.0,5061531.0,502017.0,5061511.0,303.805,,306.115,,,,,,PTUA2022,IT03GWBISSAPTA,
72,PO013138NU0001,,,POZZO,,,,,LURATE CACCIVIO,CO,1499675.0,5067227.0,499648.0,5067207.0,324.141,,326.341,,,,,,PTUA2022,IT03GWBISSAPTA,
73,PO013143NUP001,,,POZZO,,,,,MARIANO COMENSE,CO,1513136.0,5061586.0,513110.0,5061567.0,284.119,,285.209,,,,,,PTUA2022,IT03GWBISSAPTA,
74,PO0131590U0001,,,POZZO,,,,,MOZZATE,CO,1495984.0,5058535.0,495957.0,5058515.0,260.0,,261.965,,,,,,PTUA2022,IT03GWBISSAPTA,
75,PO0131690U0001,,,POZZO,,,,,OLTRONA DI SAN MAMETTE,CO,1497858.0,5067077.0,497832.0,5067057.0,366.316,,367.466,,,,,,PTUA2022,IT03GWBISSAPTA,
76,PO019021NRA001,,,POZZO,,,,,CASALMAGGIORE,CR,1612303.0,4981188.0,612274.0,4981169.0,23.57,,23.57,,,,,,PTUA2022,IT03GWBISSBPPO,
77,PO019027NRA001,,,PIEZOMETRO,,,,,CASTELVISCONTI,CR,1574426.0,5015792.0,574398.0,5015772.0,65.2,,64.48,,,,,,PTUA2022,IT03GWBISSMPAO,
